V1,V2,V3
None,2,995
None,2,1111
None,2,1216
None,2,1471
None,2,1616
None,2,1639
None,2,1839
None,3,709
None,3,802
None,3,922
None,3,1010
None,3,1117
None,3,1184
None,3,1374
None,3,1399
None,3,1586
None,3,1823
None,3,1975
None,4,683
None,5,1419
None,6,890
None,6,1124
None,6,1718
None,6,1888
None,7,883
None,7,1230
None,7,1522
None,9,1059
None,9,1598
None,10,887
None,10,1916
None,12,1079
None,14,1635
None,15,832
None,15,1029
None,15,1254
None,15,1348
None,15,1672
None,15,1888
None,16,1007
None,16,1111
None,16,1364
None,16,1760
None,18,1055
None,18,1908
None,19,945
None,19,1087
None,20,1305
None,20,1496
None,20,1851
None,20,1871
None,21,1502
None,22,963
None,22,1288
None,22,1830
None,23,909
None,23,983
None,23,1645
None,23,1946
None,24,943
None,24,1071
None,26,847
None,27,1107
None,28,1932
None,29,1381
None,30,943
None,30,1073
None,30,1188
None,30,1353
None,30,1796
None,30,1945
None,31,1043
None,31,1161
None,32,1428
None,32,1463
None,34,1124
None,35,1692
None,37,1219
None,37,1911
None,38,1735
None,38,1766
None,39,756
None,39,1502
None,39,1670
None,39,1744
None,42,988
None,42,1024
None,42,1364
None,44,1239
None,44,1314
None,45,903
None,45,1944
None,47,862
None,47,932
None,47,1063
None,47,1309
None,47,1385
None,47,1625
None,48,1046
None,48,1132
None,48,1498
None,49,1101
None,49,1882
None,50,905
None,51,1240
None,51,1850
None,52,1540
None,53,1282
None,55,375
None,55,1048
None,55,1054
None,55,1208
None,55,1277
None,55,1720
None,55,1959
None,57,866
None,57,1272
None,58,1775
None,59,841
None,59,947
None,59,971
None,59,1176
None,59,1224
None,59,1349
None,60,1159
None,60,1696
None,60,1929
None,61,1152
None,62,739
None,62,1038
None,62,1306
None,62,1664
None,64,1904
None,65,1119
None,65,1195
None,66,1107
None,66,1999
None,68,772
None,68,1261
None,68,1760
None,68,1975
None,70,790
None,70,1291
None,70,1623
None,70,1923
None,70,1961
None,71,967
None,71,1079
None,71,1415
None,71,1774
None,71,1847
None,72,311
None,74,1375
None,75,1023
None,76,936
None,77,1048
None,78,1120
None,78,1244
None,79,989
None,79,1182
None,80,1008
None,80,1222
None,82,870
None,83,1088
None,83,1163
None,83,1362
None,83,1971
None,84,1607
None,86,955
None,86,1394
None,87,143
None,87,915
None,87,1195
None,87,1265
None,87,1322
None,87,1894
None,88,1303
None,88,1679
None,88,1690
None,88,1909
None,90,975
None,90,1072
None,90,1940
None,91,1347
None,92,815
None,92,1175
None,92,1436
None,93,1759
None,94,1015
None,94,1321
None,94,1641
None,94,1983
None,95,1194
None,95,1339
None,95,1450
None,97,1671
None,98,974
None,98,1231
None,99,936
None,99,1155
None,99,1959
None,101,1056
None,102,1205
None,102,1536
None,103,119
None,103,1087
None,103,1735
None,107,868
None,107,1124
None,108,1298
None,109,1351
None,109,1405
None,110,1319
None,110,1383
None,110,1876
None,111,847
None,111,1766
None,111,1827
None,112,910
None,112,1925
None,113,1323
None,113,1445
None,113,1639
None,114,1256
None,114,1431
None,114,1654
None,115,1588
None,115,1853
None,116,1416
None,117,956
None,117,1214
None,118,911
None,118,1602
None,118,1906
None,119,1503
None,120,1974
None,122,1283
None,122,1952
None,123,790
None,123,1033
None,124,1202
None,125,881
None,126,989
None,126,1798
None,127,1920
None,127,1939
None,128,1363
None,128,1629
None,129,959
None,129,1335
None,131,1232
None,131,1302
None,132,1500
None,132,1538
None,133,1783
None,135,1576
None,136,1383
None,139,1719
None,139,1862
None,140,839
None,140,1272
None,140,1439
None,140,1475
None,140,1894
None,142,1207
None,142,1406
None,142,1599
None,142,1974
None,143,1004
None,143,1612
None,144,935
None,144,1459
None,144,1997
None,145,1247
None,145,1418
None,145,1936
None,146,863
None,147,939
None,148,1362
None,149,1638
None,149,1952
None,150,1332
None,150,1743
None,151,1379
None,151,1750
None,152,1797
None,153,1494
None,155,960
None,155,1584
None,158,1518
None,158,1766
None,158,1775
None,158,1870
None,159,231
None,159,615
None,159,1646
None,159,1952
None,159,1999
None,161,1640
None,162,1051
None,162,1790
None,163,1163
None,163,1219
None,163,1670
None,164,1284
None,165,859
None,165,1000
None,166,1615
None,166,1999
None,167,143
None,167,1111
None,167,1831
None,167,1918
None,168,887
None,168,1687
None,168,1704
None,168,1854
None,169,1729
None,171,960
None,172,1305
None,174,1466
None,174,1954
None,175,1034
None,175,1191
None,175,1359
None,175,1745
None,175,1934
None,176,849
None,176,1891
None,178,1252
None,179,823
None,179,1931
None,180,1487
None,180,1976
None,181,1009
None,183,932
None,183,1127
None,183,1511
None,183,1710
None,184,1270
None,184,1590
None,185,1139
None,186,1868
None,188,1063
None,190,879
None,191,1228
None,191,1272
None,191,1567
None,191,1584
None,191,1791
None,191,1903
None,192,1114
None,192,1961
None,196,1819
None,198,1327
None,198,1757
None,199,809
None,199,951
None,199,1010
None,199,1365
None,199,1840
None,200,959
None,200,1943
None,202,1453
None,202,1984
None,203,857
None,204,967
None,204,1160
None,207,1303
None,207,1368
None,207,1471
None,207,1899
None,207,1936
None,207,1942
None,207,1973
None,210,1231
None,211,1179
None,211,1425
None,212,1864
None,213,1503
None,214,1301
None,214,1712
None,214,1901
None,214,1927
None,214,1943
None,215,175
None,215,827
None,215,1255
None,215,1795
None,218,1087
None,218,1555
None,219,1584
None,222,983
None,222,1496
None,222,1528
None,222,1916
None,223,846
None,223,945
None,223,1056
None,223,1130
None,223,1153
None,223,1981
None,224,439
None,224,1224
None,224,1619
None,224,1882
None,227,1950
None,228,1007
None,228,1345
None,230,1390
None,231,911
None,231,1206
None,231,1745
None,231,1936
None,235,1642
None,237,805
None,238,1239
None,238,1324
None,238,1848
None,239,844
None,239,1548
None,240,1110
None,240,1296
None,240,1895
None,240,1939
None,241,1034
None,241,1274
None,243,1903
None,247,23
None,247,1088
None,247,1183
None,247,1454
None,250,1466
None,250,1614
None,251,1139
None,253,1486
None,254,1151
None,254,1200
None,254,1376
None,255,295
None,255,1183
None,255,1664
None,255,1718
None,256,1063
None,256,1367
None,256,1808
None,256,1911
None,257,1973
None,258,847
None,258,1993
None,259,1087
None,259,1308
None,259,1879
None,262,1127
None,262,1358
None,263,87
None,263,1336
None,263,1341
None,263,1918
None,263,1955
None,265,991
None,266,866
None,266,1054
None,266,1407
None,267,1139
None,267,1299
None,267,1504
None,268,1168
None,269,1247
None,270,1198
None,270,1464
None,271,910
None,271,1077
None,271,1333
None,272,1374
None,273,1222
None,273,1348
None,274,1900
None,276,1263
None,276,1606
None,277,1238
None,277,1919
None,278,1486
None,279,1214
None,279,1518
None,280,7
None,280,1321
None,280,1423
None,280,1558
None,281,1999
None,284,1579
None,287,240
None,288,889
None,288,1295
None,289,1400
None,290,1422
None,291,951
None,293,1958
None,294,1151
None,294,1459
None,294,1932
None,295,1531
None,295,1607
None,296,1497
None,299,1102
None,299,1630
None,301,1175
None,302,1223
None,302,1440
None,302,1567
None,303,319
None,303,1391
None,303,1934
None,304,1196
None,307,1555
None,308,1158
None,308,1376
None,309,1660
None,310,872
None,310,1085
None,310,1934
None,310,1999
None,311,551
None,311,1959
None,312,959
None,314,1201
None,314,1671
None,315,1138
None,315,1566
None,318,1339
None,318,1692
None,319,711
None,319,1113
None,319,1457
None,319,1936
None,320,1046
None,321,1427
None,323,1382
None,323,1591
None,324,1534
None,324,1859
None,326,167
None,326,1575
None,326,1928
None,327,1038
None,327,1376
None,327,1420
None,327,1613
None,328,1165
None,328,1523
None,328,1655
None,328,1710
None,330,1484
None,331,1190
None,331,1503
None,333,979
None,333,1550
None,334,1370
None,334,1455
None,334,1715
None,335,351
