V1,V2,V3
end,3052,4019
end,3064,4003
end,3076,4043
nep,3088,4006
nep,3097,4042
nep,3119,4002
nep,3121,4025
unk,3123,4140
cep,3124,4074
end,3127,4144
end,3128,4154
unk,3129,4168
unk,3129,4174
cep,3135,4070
cep,3141,4002
nep,3146,4047
nep,3150,4069
nep,3174,4049
nep,3174,4104
unk,3176,4187
nep,3184,4080
nep,3191,4153
nep,3192,4073
cep,3195,4023
nep,3195,4035
nep,3197,4115
nep,3200,4133
nep,3204,4179
nep,3204,4199
nep,3206,4137
nep,3208,4034
nep,3216,4094
cep,3223,4047
nep,3223,4120
nep,3223,4168
nep,3223,4174
end,3223,4281
nep,3226,4182
nep,3230,4227
nep,3230,4250
nep,3231,4176
cep,3232,4122
nep,3238,4094
nep,3239,4166
nep,3240,4157
nep,3242,4011
nep,3242,4191
nep,3244,4358
end,3244,4404
nep,3248,4120
nep,3248,4289
nep,3248,4322
nep,3255,4134
nep,3256,4251
fib,3256,4384
nep,3258,4067
nep,3259,4408
nep,3260,4002
nep,3260,4372
nep,3262,4055
cep,3262,4344
nep,3263,4479
lym,3268,4291
nep,3269,4195
nep,3269,4458
nep,3270,4103
nep,3271,4029
lym,3271,4240
nep,3271,4256
nep,3271,4312
cep,3271,4359
cep,3275,4271
lym,3278,4215
cep,3278,4478
lym,3279,4278
cep,3282,4451
nep,3285,4511
lym,3286,4080
nep,3286,4099
nep,3286,4435
cep,3288,4168
nep,3288,4184
cep,3288,4247
lym,3289,4065
nep,3290,4127
nep,3291,4147
nep,3292,4537
nep,3295,4014
nep,3296,4119
nep,3298,4154
lym,3300,4205
nep,3302,4463
nep,3303,4012
lym,3303,4084
nep,3303,4472
nep,3303,4558
nep,3304,4510
lym,3305,4307
cep,3307,4476
nep,3311,4176
nep,3311,4223
cep,3311,4256
nep,3311,4391
nep,3311,4527
nep,3311,4575
nep,3312,4014
nep,3312,4092
nep,3312,4116
cep,3312,4456
nep,3313,4144
nep,3313,4232
nep,3315,4059
lym,3317,4320
cep,3317,4408
cep,3319,4247
nep,3319,4375
cep,3319,4447
cep,3319,4457
nep,3320,4038
nep,3320,4200
nep,3320,4214
nep,3322,4135
cep,3326,4287
nep,3326,4507
lym,3327,4319
cep,3327,4354
cep,3327,4431
cep,3328,4142
nep,3330,4579
nep,3331,4015
