V1,V2,V3
myo,174,923
myo,180,911
myo,182,895
myo,184,927
myo,184,942
myo,190,934
myo,191,895
myo,191,902
myo,191,911
myo,192,928
myo,198,902
myo,198,926
myo,199,880
myo,199,888
myo,199,911
myo,199,918
myo,199,932
myo,200,942
myo,205,927
myo,206,919
myo,206,934
myo,214,895
myo,214,933
myo,215,919
myo,215,926
myo,215,942
myo,216,951
myo,220,935
myo,221,918
myo,227,919
unk,351,607
unk,351,640
unk,359,614
unk,359,622
unk,360,631
unk,366,600
unk,367,576
unk,367,583
unk,367,630
unk,375,622
unk,445,639
unk,447,685
unk,448,623
unk,448,680
unk,449,671
